time	event	DegreesC	Current
6.5313	1	114	30
8.6682	1	114	30
7.6698	1	114	30
7.672	1	114	30
7.1587	1	114	30
5.1584	1	114	30
6.7638	1	114	30
7.4136	1	114	30
7.2649	1	114	30
7.3587	1	114	30
8.0124	1	114	30
6.294	1	114	30
6.9981	1	114	30
7.4821	1	114	30
7.2857	1	114	30
7.3733	1	114	30
8.7472	1	114	30
6.5175	1	114	30
6.7202	1	114	30
7.6527	1	114	30
10	0	114	30
7.4295	1	114	30
7.8822	1	114	30
7.941	1	114	30
6.4261	1	114	30
8.0123	1	114	30
6.8571	1	114	30
7.1155	1	114	30
7.7902	1	114	30
7.3715	1	114	30
