time	event	DegreesC	Current
4.8347	1	130	40
4.7785	1	130	40
3.7792	1	130	40
4.1502	1	130	40
4.2714	1	130	40
3.1983	1	130	40
4.148	1	130	40
3.9958	1	130	40
4.4549	1	130	40
4.7368	1	130	40
4.1334	1	130	40
3.5969	1	130	40
3.7621	1	130	40
3.9114	1	130	40
3.6467	1	130	40
5.4284	1	130	40
4.5918	1	130	40
3.9739	1	130	40
3.0785	1	130	40
3.3997	1	130	40
4.6884	1	130	40
4.9178	1	130	40
4.6953	1	130	40
4.9063	1	130	40
3.7388	1	130	40
3.8368	1	130	40
4.1953	1	130	40
4.6905	1	130	40
4.3414	1	130	40
5.9211	1	130	40
